port,train_count,test_count,label_dist,data_count,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
5001,5952,992,even,more,0.05434782608695652,0.6304347826086957,0.5760869565217391,0.6521739130434783,0.6630434782608695,0.6413043478260869,0.6630434782608695,0.5978260869565217,0.6630434782608695,0.6086956521739131,0.7282608695652174,0.7282608695652174,0.6630434782608695,0.5652173913043478,0.7282608695652174,0.6521739130434783
5002,5952,992,even,more,0.021739130434782608,0.6304347826086957,0.5869565217391305,0.5434782608695652,0.5434782608695652,0.6847826086956522,0.6413043478260869,0.75,0.6521739130434783,0.5978260869565217,0.6630434782608695,0.6847826086956522,0.6413043478260869,0.6630434782608695,0.6630434782608695,0.5978260869565217
5003,5952,992,even,more,0.03260869565217391,0.5108695652173914,0.6304347826086957,0.6413043478260869,0.717391304347826,0.7065217391304348,0.6956521739130435,0.6521739130434783,0.717391304347826,0.6413043478260869,0.7608695652173914,0.6847826086956522,0.7065217391304348,0.717391304347826,0.717391304347826,0.7065217391304348
5004,5952,992,even,more,0.021739130434782608,0.6195652173913043,0.5760869565217391,0.6521739130434783,0.6739130434782609,0.6086956521739131,0.7391304347826086,0.6304347826086957,0.6304347826086957,0.6521739130434783,0.5978260869565217,0.717391304347826,0.75,0.7391304347826086,0.6195652173913043,0.7282608695652174
5005,5952,992,even,more,0.18478260869565216,0.5543478260869565,0.5434782608695652,0.6521739130434783,0.532608695652174,0.6086956521739131,0.6521739130434783,0.6521739130434783,0.6195652173913043,0.6413043478260869,0.5760869565217391,0.6086956521739131,0.6086956521739131,0.7282608695652174,0.5434782608695652,0.6739130434782609
5006,5973,1013,zipf,more,0.8461538461538461,1.0,0.9230769230769231,0.9230769230769231,1.0,0.9230769230769231,1.0,1.0,0.8461538461538461,0.8461538461538461,1.0,0.9230769230769231,1.0,1.0,1.0,1.0
5007,5973,1013,zipf,more,0.9230769230769231,1.0,0.9230769230769231,1.0,0.8461538461538461,0.8461538461538461,1.0,1.0,0.9230769230769231,1.0,1.0,0.9230769230769231,1.0,0.9230769230769231,1.0,0.9230769230769231
5008,5973,1013,zipf,more,0.9230769230769231,0.8461538461538461,1.0,0.8461538461538461,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,0.9230769230769231,0.9230769230769231,1.0,1.0,1.0,0.9230769230769231
5009,5973,1013,zipf,more,1.0,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8461538461538461,0.8461538461538461,1.0,0.9230769230769231,1.0,0.8461538461538461,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.0
5010,5973,1013,zipf,more,1.0,0.9230769230769231,1.0,0.9230769230769231,0.9230769230769231,1.0,1.0,0.9230769230769231,1.0,0.9230769230769231,1.0,0.9230769230769231,0.9230769230769231,1.0,1.0,1.0
