port,train_count,test_count,label_dist,data_count,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
5001,5973,1013,zipf,more,0.7692307692307693,1.0,0.8461538461538461,0.9230769230769231,0.8461538461538461,1.0,1.0,0.9230769230769231,0.9230769230769231,1.0,0.9230769230769231,1.0,0.9230769230769231,1.0,0.9230769230769231,0.9230769230769231
5002,5973,1013,zipf,more,0.9230769230769231,1.0,0.8461538461538461,0.8461538461538461,0.9230769230769231,1.0,1.0,0.9230769230769231,0.9230769230769231,0.8461538461538461,1.0,1.0,1.0,1.0,1.0,0.9230769230769231
5003,5973,1013,zipf,more,1.0,0.9230769230769231,1.0,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,0.9230769230769231,1.0,1.0
5004,5973,1013,zipf,more,1.0,1.0,1.0,0.9230769230769231,0.8461538461538461,1.0,0.9230769230769231,0.8461538461538461,0.9230769230769231,0.9230769230769231,1.0,1.0,0.8461538461538461,0.9230769230769231,1.0,0.8461538461538461
5005,5973,1013,zipf,more,0.8461538461538461,1.0,0.8461538461538461,1.0,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.0,1.0,0.9230769230769231,0.9230769230769231,1.0,1.0,0.9230769230769231,1.0
5006,5973,1013,zipf,more,1.0,1.0,0.9230769230769231,1.0,0.9230769230769231,1.0,1.0,0.9230769230769231,0.8461538461538461,0.8461538461538461,1.0,0.9230769230769231,1.0,1.0,0.9230769230769231,1.0
5007,5973,1013,zipf,more,0.9230769230769231,1.0,0.9230769230769231,0.9230769230769231,1.0,1.0,0.9230769230769231,0.9230769230769231,0.8461538461538461,0.9230769230769231,0.9230769230769231,1.0,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231
5008,5973,1013,zipf,more,0.7692307692307693,1.0,1.0,0.9230769230769231,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,0.9230769230769231,1.0,0.8461538461538461,0.8461538461538461,0.9230769230769231,1.0
5009,5973,1013,zipf,more,0.9230769230769231,0.7692307692307693,0.8461538461538461,0.9230769230769231,0.9230769230769231,1.0,0.9230769230769231,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,0.9230769230769231
5010,5952,992,even,more,0.30434782608695654,0.5543478260869565,0.6413043478260869,0.6739130434782609,0.6739130434782609,0.7065217391304348,0.6739130434782609,0.6304347826086957,0.6413043478260869,0.6630434782608695,0.6956521739130435,0.717391304347826,0.6630434782608695,0.6630434782608695,0.6630434782608695,0.7717391304347826
